"","class","gene_id","Function.classification","function.","note.location","gene_name","Description","fc","log2.fc.","pval","qval","regulation","GO","KEGG","KO_ENTRY","EC","significant"
"153","Others","ENSBTAG00000017680","redox hemeostasis","","","NOS3","nitric oxide synthase 3 ",4.11,2.04,0,0,"up","GO:0001525(angiogenesis);GO:0001542(ovulation from ovarian follicle);GO:0001701(in utero embryonic development);GO:0001974(blood vessel remodeling);GO:0002028(regulation of sodium ion transport);GO:0003057(regulation of the force of heart contraction by chemical signal);GO:0003100(regulation of systemic arterial blood pressure by endothelin);GO:0003180(aortic valve morphogenesis);GO:0003184(pulmonary valve morphogenesis);GO:0003203(endocardial cushion morphogenesis);GO:0003785(actin monomer binding);GO:0003958(NADPH-hemoprotein reductase activity);GO:0004517(nitric-oxide synthase activity);GO:0005516(calmodulin binding);GO:0005634(nucleus);GO:0005737(cytoplasm);GO:0005794(Golgi apparatus);GO:0005829(cytosol);GO:0005886(plasma membrane);GO:0005901(caveola);GO:0006527(arginine catabolic process);GO:0006809(nitric oxide biosynthetic process);GO:0007263(nitric oxide mediated signal transduction);GO:0008285(negative regulation of cell population proliferation);GO:0009725(response to hormone);GO:0010181(FMN binding);GO:0010628(positive regulation of gene expression);GO:0012506(vesicle membrane);GO:0014740(negative regulation of muscle hyperplasia);GO:0014806(smooth muscle hyperplasia);GO:0016491(oxidoreductase activity);GO:0019430(removal of superoxide radicals);GO:0020037(heme binding);GO:0030324(lung development);GO:0031284(positive regulation of guanylate cyclase activity);GO:0031644(regulation of neurological system process);GO:0031663(lipopolysaccharide-mediated signaling pathway);GO:0032496(response to lipopolysaccharide);GO:0034405(response to fluid shear stress);GO:0034617(tetrahydrobiopterin binding);GO:0034618(arginine binding);GO:0043267(negative regulation of potassium ion transport);GO:0043536(positive regulation of blood vessel endothelial cell migration);GO:0043542(endothelial cell migration);GO:0045766(positive regulation of angiogenesis);GO:0045776(negative regulation of blood pressure);GO:0046872(metal ion binding);GO:0048873(homeostasis of number of cells within a tissue);GO:0050660(flavin adenine dinucleotide binding);GO:0050661(NADP binding);GO:0050880(regulation of blood vessel size);GO:0051346(negative regulation of hydrolase activity);GO:0051926(negative regulation of calcium ion transport);GO:0055114(oxidation-reduction process);GO:0060412(ventricular septum morphogenesis);GO:0070168(negative regulation of biomineral tissue development);GO:0097110(scaffold protein binding)","00220(Arginine biosynthesis);00330(Arginine and proline metabolism);04020(Calcium signaling pathway);04022(cGMP-PKG signaling pathway);04066(HIF-1 signaling pathway);04071(Sphingolipid signaling pathway);04151(PI3K-Akt signaling pathway);04370(VEGF signaling pathway);04371(Apelin signaling pathway);04611(Platelet activation);04915(Estrogen signaling pathway);04921(Oxytocin signaling pathway);04926(Relaxin signaling pathway);04931(Insulin resistance);04933(AGE-RAGE signaling pathway in diabetic complications);05418(Fluid shear stress and atherosclerosis)","K13242","EC:1.14.13.39","yes"
"157","Energy metabolism","ENSBTAG00000007496","ATP"," response to extracellular ATP","","P2RX2","purinergic receptor P2X 2 ",599.15,9.23,0,0,"up","GO:0001614(purinergic nucleotide receptor activity);GO:0001666(response to hypoxia);GO:0003029(detection of hypoxic conditions in blood by carotid body chemoreceptor signaling);GO:0004931(extracellularly ATP-gated cation channel activity);GO:0005216(ion channel activity);GO:0005524(ATP binding);GO:0005639(integral component of nuclear inner membrane);GO:0005886(plasma membrane);GO:0005887(integral component of plasma membrane);GO:0006811(ion transport);GO:0006812(cation transport);GO:0007268(chemical synaptic transmission);GO:0007274(neuromuscular synaptic transmission);GO:0007528(neuromuscular junction development);GO:0007605(sensory perception of sound);GO:0009743(response to carbohydrate);GO:0010033(response to organic substance);GO:0014832(urinary bladder smooth muscle contraction);GO:0016020(membrane);GO:0016021(integral component of membrane);GO:0016324(apical plasma membrane);GO:0030432(peristalsis);GO:0033198(response to ATP);GO:0034220(ion transmembrane transport);GO:0035381(ATP-gated ion channel activity);GO:0035590(purinergic nucleotide receptor signaling pathway);GO:0042802(identical protein binding);GO:0043235(receptor complex);GO:0048266(behavioral response to pain);GO:0048741(skeletal muscle fiber development);GO:0050909(sensory perception of taste);GO:0051260(protein homooligomerization);GO:0060079(excitatory postsynaptic potential);GO:0098655(cation transmembrane transport);GO:0098794(postsynapse)","04020(Calcium signaling pathway);04080(Neuroactive ligand-receptor interaction);04742(Taste transduction)","K05216",NA,"yes"
"158","Energy metabolism","ENSBTAG00000018419","ATP","convert adenosine-5'-triphosphate (ATP) into 3',5'-adenosine monophosphate (cyclic AMP/cAMP) and pyrophosphate","","ADCY4","adenylate cyclase 4 ",3.33,1.74,0,0,"up","GO:0000166(nucleotide binding);GO:0004016(adenylate cyclase activity);GO:0005080(protein kinase C binding);GO:0005524(ATP binding);GO:0005737(cytoplasm);GO:0005886(plasma membrane);GO:0005887(integral component of plasma membrane);GO:0006171(cAMP biosynthetic process);GO:0007188(adenylate cyclase-modulating G protein-coupled receptor signaling pathway);GO:0007189(adenylate cyclase-activating G protein-coupled receptor signaling pathway);GO:0009190(cyclic nucleotide biosynthetic process);GO:0016020(membrane);GO:0016021(integral component of membrane);GO:0016829(lyase activity);GO:0016849(phosphorus-oxygen lyase activity);GO:0030425(dendrite);GO:0035556(intracellular signal transduction);GO:0046872(metal ion binding)","00230(Purine metabolism);01522(Endocrine resistance);04015(Rap1 signaling pathway);04020(Calcium signaling pathway);04022(cGMP-PKG signaling pathway);04024(cAMP signaling pathway);04062(Chemokine signaling pathway);04072(Phospholipase D signaling pathway);04114(Oocyte meiosis);04211(Longevity regulating pathway);04213(Longevity regulating pathway - multiple species);04261(Adrenergic signaling in cardiomyocytes);04270(Vascular smooth muscle contraction);04371(Apelin signaling pathway);04540(Gap junction);04611(Platelet activation);04713(Circadian entrainment);04714(Thermogenesis);04723(Retrograde endocannabinoid signaling);04724(Glutamatergic synapse);04725(Cholinergic synapse);04727(GABAergic synapse);04742(Taste transduction);04750(Inflammatory mediator regulation of TRP channels);04911(Insulin secretion);04912(GnRH signaling pathway);04913(Ovarian steroidogenesis);04914(Progesterone-mediated oocyte maturation);04915(Estrogen signaling pathway);04916(Melanogenesis);04918(Thyroid hormone synthesis);04921(Oxytocin signaling pathway);04923(Regulation of lipolysis in adipocytes);04925(Aldosterone synthesis and secretion);04926(Relaxin signaling pathway);04927(Cortisol synthesis and secretion);04928(Parathyroid hormone synthesis, secretion and action);04934(Cushing syndrome);04970(Salivary secretion);04971(Gastric acid secretion);04972(Pancreatic secretion);04976(Bile secretion);05032(Morphine addiction);05163(Human cytomegalovirus infection);05166(Human T-cell leukemia virus 1 infection);05200(Pathways in cancer);05414(Dilated cardiomyopathy (DCM))","K08044","EC:4.6.1.1","yes"
"160","Energy metabolism","ENSBTAG00000010116","energy","?response to local energy demands, AKs allow the transfer of the two high-energy phosphoryl bonds of ATP from sites where ATP is generated to sites of ATP utilization","","AK9","adenylate kinase 9 ",7.09,2.83,0.01,0.04,"up","GO:0005524(ATP binding);GO:0006139(nucleobase-containing compound metabolic process);GO:0016310(phosphorylation);GO:0019205(nucleobase-containing compound kinase activity)",NA,NA,NA,"yes"
"161","Energy metabolism","ENSBTAG00000049434","energy","MCT1 can be upregulated by PPAR-¦Á, Nrf2, and AMPK,Monocarboxylate transporters (MCT) catalyze the bidirectional proton-linked transport of short-chain monocarboxylates such as L-lactate, ketone bodies and pyruvate across the plasma membrane of mammalian cells. MCT1-4 are key in the regulation of many cellular processes.","SLC16A1","ENSBTAG00000049434","monocarboxylate transporter 1 ",2.43,1.28,0.02,0.05,"up","GO:0008028(monocarboxylic acid transmembrane transporter activity);GO:0015718(monocarboxylic acid transport);GO:0016021(integral component of membrane);GO:0055085(transmembrane transport)",NA,"K08179",NA,"yes"
"162","Energy metabolism","ENSBTAG00000000697","energy response","Essential component of the eNoSC (energy-dependent nucleolar silencing) complex","","RRP8","ribosomal RNA processing 8 ",0.45,-1.16,0,0,"down","GO:0000183(chromatin silencing at rDNA);GO:0005634(nucleus);GO:0005677(chromatin silencing complex);GO:0005730(nucleolus);GO:0005829(cytosol);GO:0005886(plasma membrane);GO:0006364(rRNA processing);GO:0008168(methyltransferase activity);GO:0016740(transferase activity);GO:0032259(methylation);GO:0033553(rDNA heterochromatin);GO:0035064(methylated histone binding);GO:0042149(cellular response to glucose starvation);GO:0046015(regulation of transcription by glucose);GO:0071158(positive regulation of cell cycle arrest);GO:0072332(intrinsic apoptotic signaling pathway by p53 class mediator)",NA,"K14850","EC:2.1.1.287","yes"
"165","Energy metabolism","ENSBTAG00000013921","Mito metabolism","cytoplasmic enzyme involved in energy homeostasis","","CKM","creatine kinase, M-type ",6.88,2.78,0,0,"up","GO:0000166(nucleotide binding);GO:0003824(catalytic activity);GO:0004111(creatine kinase activity);GO:0005524(ATP binding);GO:0005615(extracellular space);GO:0005737(cytoplasm);GO:0009408(response to heat);GO:0016301(kinase activity);GO:0016310(phosphorylation);GO:0016740(transferase activity);GO:0016772(transferase activity, transferring phosphorus-containing groups);GO:0046314(phosphocreatine biosynthetic process);GO:0046314(phosphocreatine biosynthetic process)","00330(Arginine and proline metabolism);00330(Arginine and proline metabolism)","K00933","EC:2.7.3.2","yes"
"166","Energy metabolism","ENSBTAG00000021307","mitophagy/autophagy","argets mitochondria and causes apoptotic changes, including loss of membrane potential and the release of cytochrome c.","","BNIP3L","BCL2 interacting protein 3 like ",3.32,1.73,0,0,"up","GO:0005634(nucleus);GO:0005635(nuclear envelope);GO:0005739(mitochondrion);GO:0005740(mitochondrial envelope);GO:0005741(mitochondrial outer membrane);GO:0005783(endoplasmic reticulum);GO:0006915(apoptotic process);GO:0016020(membrane);GO:0016021(integral component of membrane);GO:0035694(mitochondrial protein catabolic process);GO:0043065(positive regulation of apoptotic process);GO:0051607(defense response to virus);GO:0097345(mitochondrial outer membrane permeabilization)","04137(Mitophagy - animal)","K15465",NA,"yes"
"171","cell growth/transcription elongation","ENSBTAG00000047225","apoptosis"," induce apoptosis","","BCL2L14","BCL2 like 14 ",2.51,1.33,0.02,0.05,"up","GO:0005829(cytosol);GO:0006915(apoptotic process);GO:0019901(protein kinase binding);GO:0042981(regulation of apoptotic process);GO:0043229(intracellular organelle)",NA,NA,NA,"yes"
"172","cell growth/transcription elongation","ENSBTAG00000012567","cell growth","cellular senescence","","TERT","telomerase reverse transcriptase ",178.98,7.48,0,0,"up","GO:0000049(tRNA binding);GO:0000333(telomerase catalytic core complex);GO:0000781(chromosome, telomeric region);GO:0000784(nuclear chromosome, telomeric region);GO:0001172(transcription, RNA-templated);GO:0001223(transcription coactivator binding);GO:0003677(DNA binding);GO:0003720(telomerase activity);GO:0003721(telomerase RNA reverse transcriptase activity);GO:0003723(RNA binding);GO:0003964(RNA-directed DNA polymerase activity);GO:0003968(RNA-directed 5'-3' RNA polymerase activity);GO:0005634(nucleus);GO:0005654(nucleoplasm);GO:0005694(chromosome);GO:0005697(telomerase holoenzyme complex);GO:0005730(nucleolus);GO:0005737(cytoplasm);GO:0005739(mitochondrion);GO:0005829(cytosol);GO:0005886(plasma membrane);GO:0006278(RNA-dependent DNA biosynthetic process);GO:0007004(telomere maintenance via telomerase);GO:0007005(mitochondrion organization);GO:0008022(protein C-terminus binding);GO:0010629(negative regulation of gene expression);GO:0016605(PML body);GO:0016607(nuclear speck);GO:0016740(transferase activity);GO:0016779(nucleotidyltransferase activity);GO:0022616(DNA strand elongation);GO:0030177(positive regulation of Wnt signaling pathway);GO:0030422(production of siRNA involved in RNA interference);GO:0031379(RNA-directed RNA polymerase complex);GO:0031647(regulation of protein stability);GO:0032092(positive regulation of protein binding);GO:0042162(telomeric DNA binding);GO:0042635(positive regulation of hair cycle);GO:0042645(mitochondrial nucleoid);GO:0042802(identical protein binding);GO:0042803(protein homodimerization activity);GO:0046326(positive regulation of glucose import);GO:0046872(metal ion binding);GO:0047485(protein N-terminus binding);GO:0051000(positive regulation of nitric-oxide synthase activity);GO:0051087(chaperone binding);GO:0070034(telomerase RNA binding);GO:0070200(establishment of protein localization to telomere);GO:0071456(cellular response to hypoxia);GO:0071897(DNA biosynthetic process);GO:0090399(replicative senescence);GO:0098680(template-free RNA nucleotidyltransferase);GO:1902895(positive regulation of pri-miRNA transcription by RNA polymerase II);GO:1903704(negative regulation of production of siRNA involved in RNA interference);GO:1904751(positive regulation of protein localization to nucleolus);GO:1990572(TERT-RMRP complex);GO:2000648(positive regulation of stem cell proliferation);GO:2000773(negative regulation of cellular senescence);GO:2001240(negative regulation of extrinsic apoptotic signaling pathway in absence of ligand);GO:2001240(negative regulation of extrinsic apoptotic signaling pathway in absence of ligand)","05165(Human papillomavirus infection);05166(Human T-cell leukemia virus 1 infection);05200(Pathways in cancer);05225(Hepatocellular carcinoma);05226(Gastric cancer);05226(Gastric cancer)","K11126","EC:2.7.7.49","yes"
